NADEZHDA,ESPINO TORRES,20081010,DR VERTIZ 128,DEPTO 202,GAM,CDMX,MX,6670
ROBERTO CARLOS,AVELAR SIGUENZA,20010723,MOLIERE 128,DEPTO 101,BENITO JUAREZ,CDMX,MX,11200
ESMERALDA,SANCHEZ LEVARIO,20100921,CAR. MEX-PACHUCA 123,,ATLACOMULCO,HG,MX,1245
ZOILA,MARTINEZ LOEZA,20091023,675 E AV 1,APT 704,MANHATTAN,NY,EU,10128
AUREA MAGDALENA,RAMIREZ SANCHEZ,20160329,TKA 132,,VALLE DORADO,EDO MEX,MX,13425
MIGUEL,AUSTRIA,20200321,AMSTERDAM 23,,AZCAPOTZALCO,CDMX,MX,11345
RICARDO,RODRIGUEZ PEREZ,20071201,CHAPINGO 234,INT 12,CHALCO,EDO MEX,MX,9645
NADIA FRANCISCA,GARCIA TREJO,20071214,CHAPINGO 234,INT 14,CHALCO,EDO MEX,MX,9645
ANA TERESA,ASTROUG,19981221,NORTE 72A,6431,GAM,CDMX,MX,7880
DANIELA,GARCIA HERNANDEZ,20090821,RET 2 43,,RAMBLAS,MD,ES,28008
